序号,职位标题,类型,薪资范围,预算,经验等级,项目时长,技能标签,描述摘要,发布时间,客户位置,支付验证,客户评分,客户花费,提案数,职位链接
18,Convert WordPress‑Dependent HTML Page to Fully Static Site – Must Match Provided Video,Hourly: $15-$25,$15-$25/hr,-,Intermediate,"Less than 1 week, Less than 30 hrs/week","Front-End Development, Figma, Web Development, JavaScript, CSS, Tailwind CSS, Responsive Design",Convert single home.html WordPress-dependent page to fully static site matching provided video.,yesterday,United Kingdom,Unverified,0 out of 5,$0 spent,50+,https://www.upwork.com/jobs/Convert-WordPress-Dependent-HTML-Page-Fully-Static-Site-Must-Match-Provided-Video_~022063599760631713222/
19,"Next.js Frontend Developer — Real Estate (Web, Dashboard, Admin Dashboard, Browser Extension)",Hourly,未公开,-,Expert,"Less than 1 month, 30+ hrs/week","Website, Browser Extension, Front-End Development, TypeScript, Next.js, Web Application, Web Development",AI-powered property analysis platform close to MVP. Senior frontend developer needed.,yesterday,ARE,Verified,5.0 out of 5,$20K+ spent,15 to 20,https://www.upwork.com/jobs/Next-Frontend-Developer-Real-Estate-Web-Dashboard-Admin-Dashboard-Browser-Extension_~022063592810342232160/
20,Conversion-Focused Front-End Developer — Rapid Audit + Execution (Custom Site on Netlify),Hourly,未公开,-,Intermediate,"Less than 1 week, Less than 30 hrs/week","HTML, JavaScript, Landing Page, Web Design, Conversion Rate Optimization, Netlify",Premium editorial platform for women 40+. Custom-coded on Netlify. Need conversion-focused audit + execution.,yesterday,United States,Verified,0 out of 5,$0 spent,10 to 15,https://www.upwork.com/jobs/Conversion-Focused-Front-End-Developer-Rapid-Audit-Execution-Custom-Site-Netlify_~022063584635167785514/
21,Framer + TypeScript Form Validation Developer,Fixed-price,-,$20,Expert,-,"TypeScript, API, HTML, Framer",Framer landing page + custom backend API. Need form validation build.,yesterday,United States,Verified,4.9 out of 5,$50K+ spent,20 to 50,https://www.upwork.com/jobs/Framer-TypeScript-Form-Validation-Developer_~022063582472265722621/
22,Fix and improve AI tattoo design web app built in Lovable,Fixed-price,-,$500,Intermediate,-,"Web Development, HTML, JavaScript, CSS, React, Next.js, ai intergration / openAI API, API Integration",Improve existing AI Tattoo Design MVP built in Lovable. Ear-to-body tattoo design app.,yesterday,United Kingdom,Verified,0 out of 5,$0 spent,15 to 20,https://www.upwork.com/jobs/Fix-and-improve-tattoo-design-web-app-built-Lovable_~022063578300592140384/
23,Changes in Landing page MERN stack,Fixed-price,-,$15,Expert,-,"React, MERN Stack, Java, Performance Optimization","Improve existing landing page built with React.js, MERN stack. Enhance overall performance.",yesterday,India,Verified,5.0 out of 5,$100+ spent,20 to 50,https://www.upwork.com/jobs/Changes-Landing-page-MERN-stack_~022063575639829395018/
24,Next.js Developer for SaaS Dashboard,Fixed-price,-,$15,Entry level,-,"JavaScript, HTML5, jQuery, SQL",Experienced Next.js developer to enhance SaaS dashboard.,yesterday,United Kingdom,Verified,5.0 out of 5,$10K+ spent,5 to 10,https://www.upwork.com/jobs/Next-Developer-for-SaaS-Dashboard_~022063574898451606269/
25,Software Developer,Hourly: $8-$40,$8-$40/hr,-,Intermediate,"More than 6 months, 30+ hrs/week","API, JavaScript, Web Development",Senior Full Stack Developer to build modern software consultancy company website.,yesterday,United States,Verified,4.9 out of 5,$5K+ spent,5 to 10,https://www.upwork.com/jobs/Software-Developer_~022063573647729078368/
26,Full-Stack Developer for Multi-Role Marketplace Platform,Hourly: $15-$25,$15-$25/hr,-,Intermediate,"Less than 1 month, Less than 30 hrs/week","JavaScript, Next.js, React, TypeScript, PostgreSQL, API Integration, Database Architecture, Web Application",Experienced Full-Stack Developer to build marketplace platform connecting custom service providers.,yesterday,Saudi Arabia,Verified,0 out of 5,$0 spent,20 to 50,https://www.upwork.com/jobs/Full-Stack-Developer-for-Multi-Role-Marketplace-Platform_~022063568021554807338/
27,Remote full stack engineer,Hourly: $25-$55,$25-$55/hr,-,Expert,"Less than 1 month, Less than 30 hrs/week","JavaScript, React, Mobile App Development, full stack dev",Building next-generation creator platform in music and entertainment space.,yesterday,United States,Verified,0 out of 5,$0 spent,20 to 50,https://www.upwork.com/jobs/Remote-full-stack-engineer_~022063516596229588668/
28,🧠 BrainLab Elite 25 — PWA Cognitive Fitness Platform | React + Three.js + Stripe + PWA,Hourly,未公开,-,Intermediate,"Less than 1 month, not_sure","React, Node.js, React Native",Premium cognitive fitness web app — 25 training games across 5 domains. PWA with Stripe integration.,yesterday,USA,Verified,4.5 out of 5,$10K+ spent,20 to 50,https://www.upwork.com/jobs/BrainLab-Elite-PWA-Cognitive-Fitness-Platform-React-Three-Stripe-PWA_~022063513738421448800/
29,Remote full stack dev,Hourly: $25-$55,$25-$55/hr,-,Expert,"Less than 1 month, Less than 30 hrs/week","JavaScript, React, Mobile App Development, full stack dev",Hiring full stack engineer to develop and progress MVP of social media app from scratch.,yesterday,United States,Verified,0 out of 5,$0 spent,50+,https://www.upwork.com/jobs/Remote-full-stack-dev_~022063510060799181354/
30,Build a React web app for vehicle parts marketplace,Hourly: $15-$35,$15-$35/hr,-,Intermediate,"3 to 6 months, 30+ hrs/week","React, Web Development, JavaScript, HTML, Node.js, CSS",MVP for vehicle spare parts marketplace connecting vehicle owners with parts sellers.,yesterday,United States,Verified,0 out of 5,$0 spent,50+,https://www.upwork.com/jobs/Build-React-web-app-for-vehicle-parts-marketplace_~022063504522486984800/
31,Front-End Developer to Build Telehealth E-Commerce Site from Finished Figma Designs,Hourly: $15-$30,$15-$30/hr,-,Intermediate,"Less than 1 week, Less than 30 hrs/week","Website, Front-End Development, Ecommerce Website, HTML, CSS, Landing Page, Web Development",Freeley - LegitScript-certified telehealth brand launching redesigned e-commerce site from finished Figma designs.,yesterday,United States,Verified,5.0 out of 5,$3K+ spent,20 to 50,https://www.upwork.com/jobs/Front-End-Developer-Build-Telehealth-Commerce-Site-from-Finished-Figma-Designs_~022063461588894986336/
32,Technical Lead / Full-Stack Developer Needed to Build AI-Enhanced Data Platform,Fixed-price,-,"$1,000",Expert,-,"Next.js, OpenAI API, React, PostgreSQL, Node.js, SaaS, Python, Data Integration, Graph Database",Strong technical person or small team to take full ownership of building B2B AI-enhanced data platform.,yesterday,United Kingdom,Verified,4.8 out of 5,$60K+ spent,20 to 50,https://www.upwork.com/jobs/Technical-Lead-Full-Stack-Developer-Needed-Build-Enhanced-Data-Platform_~022063457491411788430/
33,Hiring Next.js Ecommerce Developer,Fixed-price,-,"$3,000",Expert,-,"Next.js, Tailwind CSS, React, Supabase, Web Development, JavaScript",Experienced full-stack Next.js developer to build ecommerce eyewear platform.,yesterday,PHL,Verified,0 out of 5,$0 spent,20 to 50,https://www.upwork.com/jobs/Hiring-Next-Ecommerce-Developer_~022063444287356920462/
34,HTML5 Browser Game Developer - Contra-Style Side Scroller (Demo Build),Fixed-price,-,$500,Expert,-,"JavaScript, CSS, Game Design",Contra-style side scroller browser game demo build for YouTube comedy action channel MacDannygun (8M views).,yesterday,Canada,Verified,4.4 out of 5,$100 spent,20 to 50,https://www.upwork.com/jobs/HTML5-Browser-Game-Developer-Contra-Style-Side-Scroller-Demo-Build_~022063443329314972302/
35,Vipyy saas,Hourly,未公开,-,Intermediate,"Less than 1 week, Less than 30 hrs/week","React, TypeScript, Node.js, Next.js, Tailwind CSS, PostgreSQL, OpenAI API, AWS Development",SaaS for nightclubs and events. Build from scratch with React/Next.js stack.,yesterday,USA,Verified,0 out of 5,$2K spent,50+,https://www.upwork.com/jobs/Vipyy-saas_~022063426199308185696/
36,Senior Backend / Full-Stack Next.js Engineer - Tourism Platform,Hourly: $20-$40,$20-$40/hr,-,Expert,"Less than 1 month, Less than 30 hrs/week","PostgreSQL, API, TypeScript, SQLite, MySQL, Microsoft SQL Server, React, Node.js, Web Development","New public-sector tourism platform on Next.js 16 App Router, TypeScript strict mode.",yesterday,United States,Verified,4.4 out of 5,$30K+ spent,15 to 20,https://www.upwork.com/jobs/Senior-Backend-Full-Stack-Next-Engineer-Tourism-Platform_~022063402713952543374/
37,Next.js PWA Developer for Video Feed App,Fixed-price,-,"$3,000",Intermediate,-,"Video Stream, Video Conversion, FFmpeg, Video Ripping","Next.js PWA with vertical video feed, similar to TikTok. Video processing with FFmpeg.",yesterday,Albania,Verified,0 out of 5,$0 spent,20 to 50,https://www.upwork.com/jobs/Next-PWA-Developer-for-Video-Feed-App_~022063399651607306894/
38,Senior Full Stack Developer for Ecommerce,Hourly: $10-$15,$10-$15/hr,-,Intermediate,"Less than 1 month, Less than 30 hrs/week","JavaScript, CSS, React, Next.js, TypeScript, Full-Stack Development, Node.js, Web Development",Full Stack Developer for E-Commerce Project in KSA (Saudi Arabia).,yesterday,Saudi Arabia,Verified,0 out of 5,$0 spent,20 to 50,https://www.upwork.com/jobs/Senior-Full-Stack-Developer-for-Ecommerce_~022063398799177299530/
39,**Senior Design Engineer - Tourism Platform**,Hourly: $20-$35,$20-$35/hr,-,Expert,"Less than 1 month, Less than 30 hrs/week","React, Next.js, Tailwind CSS, TypeScript, Website, claude code, OpenAI Codex, Web Design",New destination website and AI platform for US public-sector tourism. Senior Design Engineer needed.,yesterday,United States,Verified,4.4 out of 5,$30K+ spent,20 to 50,https://www.upwork.com/jobs/Senior-Design-Engineer-Tourism-Platform_~022063387375632990762/
40,Stripe Connect Integration for a Multi-Tenant SaaS (React + Supabase),Hourly,未公开,-,Expert,"Less than 1 week, Less than 30 hrs/week","React, API Integration, Stripe, Supabase, Stripe Connect",Working web app on React + Supabase (via Lovable). Need Stripe specialist for Stripe Connect implementation.,yesterday,United States,Verified,0 out of 5,$0 spent,5 to 10,https://www.upwork.com/jobs/Stripe-Connect-Integration-for-Multi-Tenant-SaaS-React-Supabase_~022063383022613815950/
41,React Developer Needed - 30 minute consultation,Fixed-price,-,$5,Expert,-,"React, JavaScript, CSS, Node.js, API","React Developer for 30-Minute Consultation on Development, Debugging & Best Practices.",yesterday,Pakistan,Verified,5.0 out of 5,$25 spent,20 to 50,https://www.upwork.com/jobs/React-Developer-Needed-minute-consultation_~022063367735972282922/
42,React / Next.js Developer Needed to Implement Claude Code Designs,Fixed-price,-,$10,Intermediate,-,"SaaS Development, Next.js, API Integration, OpenAI API, React, Node.js, TypeScript, Full-Stack Development",Skilled React and Next.js developer to integrate Claude Code generated designs into live portal.,yesterday,United States,Verified,5.0 out of 5,$600+ spent,10 to 15,https://www.upwork.com/jobs/React-Next-Developer-Needed-Implement-Claude-Code-Designs_~022063355575078568490/
43,UI/UX Designer & Full-Stack PHP Developer Needed to Redesign Luxury Art E-commerce Website,Fixed-price,-,$50,Expert,-,"Website Redesign, .NET Framework, PHP, SQLite, Web Design, Graphic Design, Web Development",Art Deluxe Paris - luxury art e-commerce platform redesign. Full-stack PHP developer needed.,yesterday,FRA,Verified,5.0 out of 5,$5K+ spent,20 to 50,https://www.upwork.com/jobs/Designer-Full-Stack-PHP-Developer-Needed-Redesign-Luxury-Art-commerce-Website_~022063353104245436512/
44,"AI-Focused Full-Stack Developer (Hourly / Part-Time, Remote)",Hourly: $20-$35,$20-$35/hr,-,Intermediate,"Less than 1 month, Less than 30 hrs/week","Java, SQL, Apache Tomcat, Python, React, JavaScript",Small hands-on AI studio building real products for real businesses. AI-focused full-stack developer.,yesterday,United Kingdom,Verified,4.9 out of 5,$20K+ spent,20 to 50,https://www.upwork.com/jobs/Focused-Full-Stack-Developer-Hourly-Part-Time-Remote_~022063342028596659900/
45,Node.js + React Developer – AI-First Platform Development (Claude Code CLI),Hourly: $3-$8,$3-$8/hr,-,Entry level,"More than 6 months, 30+ hrs/week","Node.js, React, API",Developer for ongoing work on multi-app SaaS platform built on Claude Code CLI. AI-first development.,yesterday,Slovenia,Verified,0 out of 5,$0 spent,20 to 50,https://www.upwork.com/jobs/Node-React-Developer-First-Platform-Development-Claude-Code-CLI_~022063332498646952701/
46,AI Developer for SAAS Platform,Hourly,未公开,-,Intermediate,"Less than 1 month, Less than 30 hrs/week","HTML5, JavaScript, CSS 3, CSS",B2B SaaS platform giving businesses autonomous AI agents for paid advertising optimization.,yesterday,United Kingdom,Verified,4.9 out of 5,$4K+ spent,20 to 50,https://www.upwork.com/jobs/Developer-for-SAAS-Platform_~022063329043211698730/
47,Full-Stack engineer for B2B SaaS Learning Platform,Hourly: $30-$70,$30-$70/hr,-,Intermediate,"3 to 6 months, 30+ hrs/week","Next.js, Node.js, Full-Stack Development, RESTful API, MongoDB, Amazon Web Services, Docker","Long-term B2B SaaS learning platform for schools, sports clubs, coaches, and youth organizations.",yesterday,Ukraine,Verified,0 out of 5,$0 spent,20 to 50,https://www.upwork.com/jobs/Full-Stack-engineer-for-B2B-SaaS-Learning-Platform_~022063309501299092221/
48,Web design form - 8 steps,Hourly,未公开,-,Intermediate,"Less than 1 week, Less than 30 hrs/week","Web Design, React, CSS, JavaScript",Build a form with 8 stages. Design already made in Figma.,2 days ago,Georgia,Verified,4.9 out of 5,$8K+ spent,50+,https://www.upwork.com/jobs/Web-design-form-steps_~022063303173303952014/
49,Full-Stack Engineer (Next.js + Supabase) with Strong Data-Cleaning Skills,Hourly: $30-$40,$30-$40/hr,-,Intermediate,"More than 6 months, 30+ hrs/week","PostgreSQL, JavaScript, React, Node.js",Data-driven platform in beauty/cosmetics space. Already collected large dataset needing cleaning. Next.js + Supabase.,2 days ago,United States,Unverified,0 out of 5,$0 spent,15 to 20,https://www.upwork.com/jobs/Full-Stack-Engineer-Next-Supabase-with-Strong-Data-Cleaning-Skills_~022063285709615353537/
50,AI code reviewer - Tauri + React + PouchDB (local) + CouchDB (cloud),Hourly: $25-$50,$25-$50/hr,-,Expert,"Less than 1 month, Less than 30 hrs/week","React, Node.js, JavaScript, MongoDB",AI code reviewer desktop app using Claude. Tauri + React + PouchDB (local) + CouchDB (cloud). Windows/Mac.,2 days ago,Bulgaria,Unverified,0 out of 5,$0 spent,15 to 20,https://www.upwork.com/jobs/code-reviewer-Tauri-React-PouchDB-local-CouchDB-cloud_~022063279122198775484/
